,source,destination,geo_distance_km,fiber_distance_km,min_latency_ms,measured_latency_ms,noise_ms,is_anomaly
0,New York,London,5570.222179737958,7517.969652868638,37.58984826434319,37.31331966200082,-0.2765286023423693,0
1,New York,London,5570.222179737958,7517.969652868638,37.58984826434319,35.36608802824935,-2.223760236093841,0
2,New York,Tokyo,10848.807997679607,14449.42125415706,72.2471062707853,75.40553190180007,3.158425631014783,0
3,New York,Tokyo,10848.807997679607,14449.42125415706,72.2471062707853,73.78197572909112,1.5348694583058176,0
4,New York,Sydney,15988.75550703963,20034.751041798372,100.17375520899185,101.25887529616378,1.0851200871719293,0
5,New York,Sydney,15988.75550703963,20034.751041798372,100.17375520899185,99.03099487748356,-1.142760331508283,0
6,New York,San Francisco,4129.08616505731,4986.250248503656,24.931251242518282,21.481415577492218,-3.4498356650260655,0
7,New York,San Francisco,4129.08616505731,4986.250248503656,24.931251242518282,23.806676184036338,-1.1245750584819454,0
8,New York,Paris,5837.240903825839,7058.377647444485,35.29188823722242,32.46728083455184,-2.824607402670583,0
9,New York,Paris,5837.240903825839,7058.377647444485,35.29188823722242,34.03293831537392,-1.2589499218485016,0
10,New York,Singapore,15332.498089280067,20848.7023077502,104.24351153875101,103.15474608970064,-1.0887654490503653,0
11,New York,Singapore,15332.498089280067,20848.7023077502,104.24351153875101,104.46535671817074,0.22184517941973217,0
12,New York,Dubai,11008.074111500497,13649.308823664569,68.24654411832284,67.6631566187363,-0.5833874995865536,0
13,New York,Dubai,11008.074111500497,13649.308823664569,68.24654411832284,66.20343972897165,-2.0431043893511958,0
14,New York,Cape Town,12564.828361918611,16131.034003824127,80.65517001912063,82.30025984332701,1.645089824206378,0
15,New York,Cape Town,12564.828361918611,16131.034003824127,80.65517001912063,78.21348271917859,-2.4416872999420445,0
16,New York,Toronto,550.4437796698704,642.4677386847872,3.212338693423936,3.606061165162183,0.39372247173824704,0
17,New York,Toronto,550.4437796698704,642.4677386847872,3.212338693423936,3.649615325531661,0.43727663210772494,0
18,New York,Berlin,6385.003586143814,8863.509401567835,44.31754700783918,44.0862504430627,-0.23129656477648106,0
19,New York,Berlin,6385.003586143814,8863.509401567835,44.31754700783918,43.7153396166606,-0.6022073911785776,0
20,New York,Moscow,7510.264607579636,9417.3920840117,47.086960420058496,49.20120487249633,2.1142444524378314,0
21,New York,Moscow,7510.264607579636,9417.3920840117,47.086960420058496,44.82585581069536,-2.2611046093631337,0
22,New York,Beijing,10989.090113198363,14433.542257659461,72.16771128829731,68.8138672876854,-3.3538440006119172,1
23,New York,Beijing,10989.090113198363,14433.542257659461,72.16771128829731,73.39106386597905,1.2233525776817358,0
24,New York,Delhi,11754.72790675289,15840.721387501826,79.20360693750914,81.8109294743063,2.607322536797168,0
25,New York,Delhi,11754.72790675289,15840.721387501826,79.20360693750914,80.52817596474726,1.3245690272381245,0
26,New York,Los Angeles,3935.746254609723,5211.369695823209,26.056848479116045,24.26417811285744,-1.7926703662586039,0
27,New York,Los Angeles,3935.746254609723,5211.369695823209,26.056848479116045,25.832872838102162,-0.22397564101388318,0
28,New York,Mexico City,3359.383040973312,4686.341154715303,23.431705773576514,26.88473871072724,3.4530329371507276,0
29,New York,Mexico City,3359.383040973312,4686.341154715303,23.431705773576514,19.342859729936684,-4.08884604363983,0
30,New York,Buenos Aires,8526.194114268912,11995.912512271123,59.979562561355614,60.91515206788192,0.9355895065263035,0
31,New York,Buenos Aires,8526.194114268912,11995.912512271123,59.979562561355614,61.45180726269413,1.4722447013385154,0
32,New York,Johannesburg,12839.681155375347,16498.304827673543,82.49152413836772,80.56040879457777,-1.9311153437899495,0
33,New York,Johannesburg,12839.681155375347,16498.304827673543,82.49152413836772,82.37188961104438,-0.11963452732333832,0
34,New York,Seoul,11052.576827952955,15430.69456617402,77.1534728308701,75.58937717827042,-1.5640956525996788,0
35,New York,Seoul,11052.576827952955,15430.69456617402,77.1534728308701,78.00135897045197,0.8478861395818682,0
36,New York,Madrid,5768.004228487085,8434.506727303153,42.17253363651576,43.81999979046604,1.6474661539502828,0
37,New York,Madrid,5768.004228487085,8434.506727303153,42.17253363651576,39.23859786615671,-2.933935770359052,0
38,New York,Rome,6889.935373053357,9571.931922045387,47.859659610226934,44.89481111650911,-2.9648484937178265,0
39,New York,Rome,6889.935373053357,9571.931922045387,47.859659610226934,47.4019645777489,-0.45769503247803234,0
40,New York,Istanbul,8069.828631026014,9866.137839915677,49.33068919957838,48.611132908994406,-0.7195562905839751,0
41,New York,Istanbul,8069.828631026014,9866.137839915677,49.33068919957838,48.8143196025057,-0.5163695970726787,0
42,New York,Bangkok,13931.97784091451,18753.773535156924,93.76886767578462,92.02825776666248,-1.7406099091221479,0
43,New York,Bangkok,13931.97784091451,18753.773535156924,93.76886767578462,92.75558123652158,-1.0132864392630476,0
44,New York,Jakarta,16177.48102759104,19257.243425432243,96.28621712716121,98.11598577101323,1.8297686438520242,0
45,New York,Jakarta,16177.48102759104,19257.243425432243,96.28621712716121,95.31997176965862,-0.966245357502586,0
46,New York,Cairo,9021.992842578442,11214.491967277107,56.072459836385526,54.7469832096291,-1.3254766267564269,0
47,New York,Cairo,9021.992842578442,11214.491967277107,56.072459836385526,55.77951422290229,-0.29294561348323245,0
48,New York,Athens,7925.348936752735,11164.222703437033,55.82111351718517,57.83108727859043,2.009973761405264,0
49,New York,Athens,7925.348936752735,11164.222703437033,55.82111351718517,55.69235741558323,-0.12875610160193376,0
50,New York,Lima,5874.882065764203,7839.972739752911,39.19986369876455,41.67389584463748,2.474032145872923,0
51,New York,Lima,5874.882065764203,7839.972739752911,39.19986369876455,36.34690592931345,-2.852957769451105,0
