,source_city,dest_city,geo_distance_km,measured_latency_ms,physics_latency_ms,is_anomaly
0,London,Paris,343.55606034104164,7.355899539161002,1.7177803017052082,0
1,London,Frankfurt,637.7668789118289,12.751049658143623,3.188834394559145,0
2,London,Amsterdam,357.8875011228778,6.786478531161603,1.789437505614389,0
3,London,Berlin,931.5694204688527,10.853223596370027,4.657847102344264,0
4,London,Zurich,776.2341438374208,9.693089286353272,3.881170719187104,0
5,London,Vienna,1235.408027341829,9.023997977098245,6.177040136709145,0
6,London,Rome,1433.7813071157893,10.559788315050506,7.168906535578947,0
7,Paris,Frankfurt,477.89165377032487,8.654688274815843,2.3894582688516244,0
8,Paris,Amsterdam,429.8613896967422,37.37278941234219,2.1493069484837113,1
9,Paris,Berlin,877.4633259175432,10.834741815415404,4.387316629587716,0
10,Paris,Zurich,487.8773490475774,6.371642739323426,2.4393867452378872,0
11,Paris,Vienna,1033.4922772841828,8.509868846834962,5.167461386420914,0
12,Paris,Rome,1105.2801487141146,10.659950161008743,5.526400743570573,0
13,Frankfurt,Amsterdam,363.4216583446053,7.891503943672524,1.8171082917230266,0
14,Frankfurt,Berlin,423.5280249380463,4.995965283718444,2.1176401246902317,0
15,Frankfurt,Zurich,304.1810276161854,6.618460536879748,1.520905138080927,0
16,Frankfurt,Vienna,597.6455836046576,9.80290855559667,2.9882279180232882,0
17,Frankfurt,Rome,958.7278338574287,15.03601953921264,4.793639169287143,0
18,Amsterdam,Berlin,576.0871999159892,8.699344507140976,2.8804359995799462,0
19,Amsterdam,Zurich,612.9263221594731,9.335909664418326,3.0646316107973655,0
20,Amsterdam,Vienna,935.4450575969296,12.32513915411941,4.677225287984648,0
21,Amsterdam,Rome,1295.9496221016386,12.007970674175603,6.4797481105081935,0
22,Berlin,Zurich,669.0830018616773,14.277565201870157,3.3454150093083865,0
23,Berlin,Vienna,523.5449953624505,8.94099120577812,2.617724976812253,0
24,Berlin,Rome,1182.5461961338704,9.028406636834767,5.912730980669352,0
25,Zurich,Vienna,592.0648666611066,8.520499116503727,2.9603243333055334,0
26,Zurich,Rome,684.1759092144201,10.145170200219079,3.4208795460721007,0
27,Vienna,Rome,764.1671614916593,12.099225348620648,3.8208358074582964,0
28,London,Paris,343.55606034104164,6.071441873188843,1.7177803017052082,0
29,London,Frankfurt,637.7668789118289,8.12722722512683,3.188834394559145,0
30,London,Amsterdam,357.8875011228778,8.281910788843879,1.789437505614389,0
31,London,Berlin,931.5694204688527,14.86944771275335,4.657847102344264,0
32,London,Zurich,776.2341438374208,12.596789571530872,3.881170719187104,0
33,London,Vienna,1235.408027341829,10.76133759198043,6.177040136709145,0
34,London,Rome,1433.7813071157893,12.387828584897267,7.168906535578947,0
35,Paris,Frankfurt,477.89165377032487,10.367692381350984,2.3894582688516244,0
36,Paris,Amsterdam,429.8613896967422,6.721637605891605,2.1493069484837113,0
37,Paris,Berlin,877.4633259175432,12.605528890896156,4.387316629587716,0
38,Paris,Zurich,487.8773490475774,10.319022540582077,2.4393867452378872,0
